k,coor_x,coor_y,t_e,t_i,t_r,ftype0,ftype1,ftype2,herdn
90,144.956,-36.4568,7.38117,12.5483,36.0898,0,0,1,1220
91,146.04,-36.2942,16.6317,26.2302,47.6613,1,0,0,175
92,141.904,-37.8842,49.206,54.4955,67.2633,1,0,0,268
93,146.421,-36.2978,45.7871,49.0745,63.6806,0,0,1,974
94,144.86,-36.3703,15.6419,20.5924,35.0995,1,0,0,346
95,144.887,-36.3692,15.1664,17.7906,30.7332,1,0,0,268
96,144.89,-36.3875,7.05545,27.7995,57.8874,1,0,0,377
97,144.897,-36.3746,13.7783,25.2948,46.1635,1,0,0,113
98,144.534,-36.3703,34.2587,37.3613,56.374,0,1,0,844
99,146.421,-36.3755,57.0047,63.575,84.855,0,1,0,83
